Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences
SING_I8J9,intergenic_900610_900864,intergenic_region,1,1
SING_I8NP,intergenic_1218812_1219003,intergenic_region,1,1
FAM_I2177,intergenic_2554281_2554332,intergenic_region,6,6
FAM_I2178,intergenic_2526938_2527075,intergenic_region,6,6
SING_I979,intergenic_2593991_2594456,intergenic_region,1,1
FAM_I2179,intergenic_1907823_1908016,intergenic_region,6,6
FAM_I2180,intergenic_1836303_1836674,intergenic_region,6,8
SING_I99X,intergenic_2772505_2772721,intergenic_region,1,1
SING_I9AD,intergenic_2796301_2796489,intergenic_region,1,1
FAM_I2181,intergenic_1506552_1506602,intergenic_region,6,6
FAM_I2182,intergenic_1231858_1231928,intergenic_region,6,6
SING_I57Q,intergenic_3039542_3040435,intergenic_region,1,1
FAM_I2183,intergenic_1078135_1078343,intergenic_region,6,6
SING_I5BA,intergenic_3302505_3302621,intergenic_region,1,1
SING_I5DI,intergenic_3470197_3470365,intergenic_region,1,1
FAM_I2184,intergenic_472173_472230,intergenic_region,6,6
SING_I5JQ,intergenic_3874925_3875017,intergenic_region,1,1
SING_I5L2,intergenic_3983737_3983844,intergenic_region,1,1
SING_I5MU,intergenic_4123743_4123837,intergenic_region,1,1
SING_I5O6,intergenic_4196355_4196417,intergenic_region,1,1
SING_I5OM,intergenic_4235722_4235776,intergenic_region,1,1
SING_I5PY,intergenic_4323508_4323887,intergenic_region,1,1
SING_I5QE,intergenic_4358119_4358693,intergenic_region,1,1
SING_I5RA,intergenic_4407202_4407878,intergenic_region,1,1
SING_I5TY,intergenic_4594020_4594393,intergenic_region,1,1
SING_I5YE,intergenic_4917995_4918194,intergenic_region,1,1
FAM_I2186,intergenic_3947968_3948085,intergenic_region,6,6
SING_I606,intergenic_436_605,intergenic_region,1,1
FAM_I2187,intergenic_1762048_1762520,intergenic_region,4,8
FAM_I2811,intergenic_2707415_2707894,intergenic_region,2,4
FAM_I2188,intergenic_2088510_2088885,intergenic_region,6,6
FAM_I2189,intergenic_2027310_2027553,intergenic_region,6,6
FAM_I2190,intergenic_1972265_1972844,intergenic_region,2,4
FAM_I2191,intergenic_2421269_2421567,intergenic_region,6,6
FAM_I2192,intergenic_2479275_2479456,intergenic_region,6,6
FAM_I2193,intergenic_2589835_2590004,intergenic_region,6,6
SING_I8VG,intergenic_1807497_1807577,intergenic_region,1,1
FAM_I2195,intergenic_2872199_2872338,intergenic_region,6,6
SING_I1IU,intergenic_3767923_3768176,intergenic_region,1,1
FAM_I2196,intergenic_3905598_3905730,intergenic_region,3,3
SING_I1TY,intergenic_4536032_4536613,intergenic_region,1,1
FAM_I2198,intergenic_310240_310806,intergenic_region,2,2
FAM_I2199,intergenic_370482_371104,intergenic_region,2,2
FAM_I2200,intergenic_441277_441344,intergenic_region,2,2
FAM_I2201,intergenic_828820_828877,intergenic_region,2,2
FAM_I2202,intergenic_893512_893721,intergenic_region,2,2
FAM_I2203,intergenic_926656_927755,intergenic_region,2,2
FAM_I2204,intergenic_986207_986283,intergenic_region,2,2
FAM_I2206,intergenic_1169816_1169893,intergenic_region,2,2
FAM_I2207,intergenic_1189940_1190016,intergenic_region,2,2
FAM_I2208,intergenic_1254972_1255029,intergenic_region,3,3
FAM_I2209,intergenic_1275679_1275733,intergenic_region,2,2
FAM_I2210,intergenic_1353889_1353976,intergenic_region,2,2
FAM_I2211,intergenic_1391329_1391418,intergenic_region,2,2
FAM_I2212,intergenic_1423679_1424020,intergenic_region,2,2
FAM_I2213,intergenic_1440812_1441126,intergenic_region,2,2
FAM_I2214,intergenic_1545282_1545405,intergenic_region,2,2
FAM_I2215,intergenic_1602394_1602685,intergenic_region,2,2
FAM_I2216,intergenic_1694437_1694543,intergenic_region,4,4
FAM_I2217,intergenic_1753848_1754070,intergenic_region,6,6
FAM_I2218,intergenic_499813_499889,intergenic_region,6,6
FAM_I2219,intergenic_359164_359411,intergenic_region,5,9
SING_I9QV,intergenic_3986371_3986423,intergenic_region,1,1
SING_I9UV,intergenic_4284978_4285274,intergenic_region,1,1
SING_IA2F,intergenic_4825942_4826099,intergenic_region,1,1
FAM_I2220,intergenic_3781018_3781214,intergenic_region,4,4
FAM_I2221,intergenic_3678351_3678419,intergenic_region,6,6
FAM_I2222,intergenic_3600784_3601027,intergenic_region,6,6
FAM_I2223,intergenic_3574879_3575070,intergenic_region,6,6
FAM_I2224,intergenic_3530653_3530714,intergenic_region,6,6
FAM_I2225,intergenic_3493750_3494010,intergenic_region,6,6
FAM_I2226,intergenic_1931091_1931221,intergenic_region,2,2
SING_IAS7,intergenic_1776250_1776497,intergenic_region,1,1
FAM_I2227,intergenic_1918855_1919505,intergenic_region,3,3
SING_IAUF,intergenic_1927204_1928812,intergenic_region,1,1
FAM_I2228,intergenic_3409952_3410279,intergenic_region,6,6
FAM_I2229,intergenic_3490181_3490265,intergenic_region,6,6
FAM_I2230,intergenic_3526150_3526468,intergenic_region,6,6
FAM_I2231,intergenic_3630603_3630967,intergenic_region,6,6
FAM_I2232,intergenic_3737178_3737496,intergenic_region,6,6
FAM_I2233,intergenic_3776381_3776664,intergenic_region,6,6
FAM_I2234,intergenic_3852785_3853552,intergenic_region,5,6
FAM_I2235,intergenic_3888193_3888729,intergenic_region,6,6
FAM_I2236,intergenic_4201689_4201925,intergenic_region,6,6
FAM_I2237,intergenic_4325166_4325297,intergenic_region,6,6
FAM_I2238,intergenic_4376700_4376874,intergenic_region,6,6
FAM_I2239,intergenic_4410007_4410132,intergenic_region,6,6
FAM_I2240,intergenic_4479538_4479729,intergenic_region,5,5
FAM_I2241,intergenic_5358475_5358933,intergenic_region,4,5
SING_I4FR,intergenic_1079001_1079224,intergenic_region,1,1
FAM_I2242,intergenic_2600949_2601200,intergenic_region,6,6
FAM_I2243,intergenic_1478192_1478253,intergenic_region,2,2
SING_IA4P,intergenic_48321_49211,intergenic_region,1,1
FAM_I2244,intergenic_3466992_3467159,intergenic_region,3,3
SING_IAG9,intergenic_890583_891079,intergenic_region,1,1
SING_IAJD,intergenic_1117755_1118078,intergenic_region,1,1
FAM_I2245,intergenic_2467703_2468213,intergenic_region,2,2
FAM_I2247,intergenic_3001087_3001299,intergenic_region,6,6
SING_IARD,intergenic_1699461_1699561,intergenic_region,1,1
FAM_I2248,intergenic_1923548_1923922,intergenic_region,2,2
FAM_I2249,intergenic_2664046_2664152,intergenic_region,6,6
FAM_I2250,intergenic_2096836_2096912,intergenic_region,4,4
SING_IAUH,intergenic_1930217_1930510,intergenic_region,1,1
FAM_I2251,intergenic_2247991_2248061,intergenic_region,2,2
SING_IB0P,intergenic_2286250_2286336,intergenic_region,1,1
FAM_I2252,intergenic_2547906_2548165,intergenic_region,3,3
FAM_I2254,intergenic_1845453_1845599,intergenic_region,6,6
FAM_I2255,intergenic_1817193_1817572,intergenic_region,6,6
FAM_I2256,intergenic_1737548_1737690,intergenic_region,6,6
FAM_I2257,intergenic_3006893_3007158,intergenic_region,1,2
FAM_I2258,intergenic_752796_753184,intergenic_region,2,2
FAM_I2259,intergenic_459114_459372,intergenic_region,6,6
FAM_I2260,intergenic_4621603_4621768,intergenic_region,6,6
SING_IBP5,intergenic_3980375_3980625,intergenic_region,1,1
SING_IBQ1,intergenic_4026907_4027297,intergenic_region,1,1
SING_IBQX,intergenic_4092192_4092381,intergenic_region,1,1
FAM_I2261,intergenic_4434494_4434621,intergenic_region,6,6
FAM_I2262,intergenic_3902221_3902288,intergenic_region,3,3
FAM_I2263,intergenic_1462478_1463230,intergenic_region,6,6
SING_I88F,intergenic_118949_119136,intergenic_region,1,1
SING_I8B3,intergenic_306530_306892,intergenic_region,1,1
SING_I8BJ,intergenic_333838_333956,intergenic_region,1,1
FAM_I2265,intergenic_3121280_3121633,intergenic_region,3,3
SING_I8J3,intergenic_894289_894698,intergenic_region,1,1
SING_I8NJ,intergenic_1212935_1213048,intergenic_region,1,1
FAM_I2267,intergenic_1303616_1303673,intergenic_region,2,2
SING_I8TB,intergenic_1637294_1637370,intergenic_region,1,1
FAM_I2268,intergenic_2841091_2841237,intergenic_region,6,6
SING_I8WV,intergenic_1934297_1934621,intergenic_region,1,1
FAM_I2269,intergenic_2587386_2587522,intergenic_region,2,2
SING_I9A7,intergenic_2789374_2789474,intergenic_region,1,1
FAM_I2270,intergenic_1910758_1911782,intergenic_region,2,2
FAM_I2271,intergenic_2659920_2660510,intergenic_region,6,6
FAM_I2272,intergenic_2748346_2748426,intergenic_region,3,3
FAM_I2273,intergenic_1254538_1254719,intergenic_region,5,8
FAM_I2274,intergenic_2748754_2748818,intergenic_region,6,6
FAM_I2275,intergenic_2839268_2839523,intergenic_region,6,6
FAM_I2276,intergenic_3382111_3382199,intergenic_region,6,6
FAM_I2277,intergenic_3739528_3739704,intergenic_region,6,6
FAM_I2278,intergenic_3853643_3853921,intergenic_region,6,6
FAM_I2279,intergenic_4891575_4892051,intergenic_region,4,4
FAM_I2280,intergenic_2729971_2731599,intergenic_region,6,42
FAM_I2281,intergenic_4262707_4262839,intergenic_region,6,6
FAM_I2282,intergenic_4411252_4411301,intergenic_region,4,4
SING_I46G,intergenic_350250_350352,intergenic_region,1,1
FAM_I2283,intergenic_1420602_1422053,intergenic_region,2,2
FAM_I2285,intergenic_4109824_4109929,intergenic_region,6,6
FAM_I2286,intergenic_3817540_3817759,intergenic_region,6,6
FAM_I2288,intergenic_2716011_2716065,intergenic_region,6,6
FAM_I2289,intergenic_3884853_3885075,intergenic_region,6,6
FAM_I2291,intergenic_3085912_3086398,intergenic_region,6,6
FAM_I2292,intergenic_2370821_2370919,intergenic_region,6,6
FAM_I2293,intergenic_2339647_2339758,intergenic_region,6,6
FAM_I2294,intergenic_2317087_2317214,intergenic_region,6,6
FAM_I2296,intergenic_185001_185122,intergenic_region,3,3
FAM_I2297,intergenic_4264235_4264445,intergenic_region,3,3
FAM_I2298,intergenic_3842403_3842454,intergenic_region,6,6
FAM_I2299,intergenic_2753947_2754007,intergenic_region,6,6
FAM_I2300,intergenic_3013303_3013634,intergenic_region,6,6
FAM_I2301,intergenic_2983647_2983850,intergenic_region,6,6
FAM_I2302,intergenic_1112538_1112717,intergenic_region,6,6
FAM_I2303,intergenic_984262_984406,intergenic_region,6,6
FAM_I2304,intergenic_212925_213022,intergenic_region,6,6
SING_I44,intergenic_277648_277755,intergenic_region,1,1
FAM_I2305,intergenic_3637878_3638094,intergenic_region,4,4
FAM_I2306,intergenic_738474_738647,intergenic_region,6,6
FAM_I2307,intergenic_764755_764837,intergenic_region,5,5
FAM_I2308,intergenic_869183_869497,intergenic_region,6,6
FAM_I2310,intergenic_1478329_1478588,intergenic_region,6,6
FAM_I2311,intergenic_1529638_1529783,intergenic_region,6,6
FAM_I2312,intergenic_2673462_2673567,intergenic_region,2,2
FAM_I2313,intergenic_2005681_2005876,intergenic_region,6,6
FAM_I2314,intergenic_2024643_2024733,intergenic_region,6,6
FAM_I2315,intergenic_2053226_2053397,intergenic_region,6,6
FAM_I2316,intergenic_2125301_2125548,intergenic_region,5,5
FAM_I2317,intergenic_2270891_2271313,intergenic_region,6,6
FAM_I2318,intergenic_2301896_2301998,intergenic_region,6,6
FAM_I2319,intergenic_2328108_2328209,intergenic_region,6,6
FAM_I2320,intergenic_2354991_2355546,intergenic_region,6,6
FAM_I2321,intergenic_2388130_2388285,intergenic_region,6,6
FAM_I2322,intergenic_2407151_2407250,intergenic_region,6,6
FAM_I2323,intergenic_2431632_2432076,intergenic_region,6,6
FAM_I2324,intergenic_2467379_2467467,intergenic_region,6,6
FAM_I2325,intergenic_2534028_2534082,intergenic_region,6,6
FAM_I2326,intergenic_2568259_2568459,intergenic_region,6,6
FAM_I2327,intergenic_1045971_1046427,intergenic_region,6,11
FAM_I2328,intergenic_3021202_3021452,intergenic_region,6,6
FAM_I2329,intergenic_3060099_3060241,intergenic_region,6,6
FAM_I2330,intergenic_2460470_2460649,intergenic_region,6,6
FAM_I2331,intergenic_2487968_2488022,intergenic_region,6,6
FAM_I2332,intergenic_2517833_2518451,intergenic_region,6,6
SING_I150,intergenic_2772761_2772835,intergenic_region,1,1
FAM_I2333,intergenic_2865013_2865100,intergenic_region,3,3
FAM_I2334,intergenic_3036066_3036372,intergenic_region,6,6
FAM_I2335,intergenic_3185131_3185413,intergenic_region,2,2
FAM_I2336,intergenic_3545566_3545623,intergenic_region,6,6
FAM_I2337,intergenic_3646228_3646298,intergenic_region,6,6
FAM_I2338,intergenic_3832167_3832218,intergenic_region,4,4
FAM_I2339,intergenic_4449653_4449961,intergenic_region,6,6
SING_I1TG,intergenic_4499920_4500042,intergenic_region,1,1
SING_I1TW,intergenic_4533184_4533238,intergenic_region,1,1
FAM_I2340,intergenic_248834_248969,intergenic_region,2,2
FAM_I2341,intergenic_307447_307503,intergenic_region,2,2
SING_I528,intergenic_2683252_2683365,intergenic_region,1,1
FAM_I2342,intergenic_494107_494256,intergenic_region,2,2
FAM_I2343,intergenic_757518_757751,intergenic_region,2,2
FAM_I2344,intergenic_824417_824564,intergenic_region,6,6
FAM_I2345,intergenic_891968_892498,intergenic_region,2,2
FAM_I2346,intergenic_1168364_1168471,intergenic_region,2,2
FAM_I2347,intergenic_1348686_1348953,intergenic_region,2,2
FAM_I2348,intergenic_1389750_1389973,intergenic_region,2,2
FAM_I2349,intergenic_1437443_1437942,intergenic_region,2,2
FAM_I2350,intergenic_1544223_1544336,intergenic_region,2,2
FAM_I2351,intergenic_1600733_1601102,intergenic_region,2,2
FAM_I2352,intergenic_2137799_2137861,intergenic_region,6,6
FAM_I2353,intergenic_2210292_2210564,intergenic_region,2,2
FAM_I2354,intergenic_1550847_1550961,intergenic_region,2,6
FAM_I2355,intergenic_2425276_2425603,intergenic_region,6,6
FAM_I2356,intergenic_2653054_2653131,intergenic_region,6,6
FAM_I2357,intergenic_1195964_1196055,intergenic_region,2,4
FAM_I2358,intergenic_2818199_2818289,intergenic_region,6,6
FAM_I2359,intergenic_2895772_2896285,intergenic_region,6,6
FAM_I2360,intergenic_2550546_2550640,intergenic_region,6,6
FAM_I2361,intergenic_2597619_2597689,intergenic_region,6,6
FAM_I2362,intergenic_2642845_2643128,intergenic_region,6,6
FAM_I2363,intergenic_2710013_2710419,intergenic_region,6,6
FAM_I2364,intergenic_2741726_2741874,intergenic_region,6,6
FAM_I2365,intergenic_2811301_2811426,intergenic_region,6,6
FAM_I2366,intergenic_2832290_2832475,intergenic_region,6,6
FAM_I2367,intergenic_2872821_2873013,intergenic_region,6,6
FAM_I2368,intergenic_2907942_2908028,intergenic_region,6,6
FAM_I2369,intergenic_2942568_2942917,intergenic_region,6,6
FAM_I2370,intergenic_2978900_2979020,intergenic_region,6,6
FAM_I2371,intergenic_3068809_3068946,intergenic_region,6,6
FAM_I2372,intergenic_3377421_3377814,intergenic_region,6,6
FAM_I2373,intergenic_3403333_3403483,intergenic_region,6,6
FAM_I2374,intergenic_3439510_3439615,intergenic_region,6,6
FAM_I2375,intergenic_3485819_3486119,intergenic_region,6,6
FAM_I2376,intergenic_3558080_3558267,intergenic_region,6,6
FAM_I2377,intergenic_4353720_4353917,intergenic_region,3,3
FAM_I2378,intergenic_3669189_3669591,intergenic_region,6,6
FAM_I2379,intergenic_3732124_3732200,intergenic_region,6,6
FAM_I2380,intergenic_3811153_3811249,intergenic_region,6,6
FAM_I2381,intergenic_4050766_4051346,intergenic_region,6,6
FAM_I2382,intergenic_4127226_4127285,intergenic_region,6,6
FAM_I2383,intergenic_4277934_4278478,intergenic_region,6,6
FAM_I2384,intergenic_4475315_4475436,intergenic_region,5,5
FAM_I2385,intergenic_4551297_4551635,intergenic_region,6,6
FAM_I2386,intergenic_4609324_4609413,intergenic_region,6,6
FAM_I2387,intergenic_3712935_3713091,intergenic_region,6,6
FAM_I2388,intergenic_3671242_3671291,intergenic_region,6,6
FAM_I2389,intergenic_3584560_3584758,intergenic_region,3,3
FAM_I2390,intergenic_3519065_3519464,intergenic_region,6,6
FAM_I2391,intergenic_3442472_3442617,intergenic_region,6,6
FAM_I2392,intergenic_3336819_3336962,intergenic_region,6,6
FAM_I2393,intergenic_3308925_3309032,intergenic_region,6,6
FAM_I2394,intergenic_3212853_3213046,intergenic_region,6,6
FAM_I2395,intergenic_3102853_3103012,intergenic_region,6,6
SING_I4GK,intergenic_1134196_1134245,intergenic_region,1,1
SING_I4HG,intergenic_1203386_1204436,intergenic_region,1,1
FAM_I2396,intergenic_2644284_2644432,intergenic_region,6,6
FAM_I2397,intergenic_2524879_2525126,intergenic_region,4,4
SING_I4QC,intergenic_1862710_1862765,intergenic_region,1,1
FAM_I2398,intergenic_1916227_1916391,intergenic_region,2,2
SING_I4RO,intergenic_1981245_1981305,intergenic_region,1,1
SING_I4S4,intergenic_2036608_2036881,intergenic_region,1,1
FAM_I2470,intergenic_2592909_2593264,intergenic_region,3,3
FAM_I2399,intergenic_2614278_2614676,intergenic_region,6,6
FAM_I2400,intergenic_2392583_2392659,intergenic_region,6,6
FAM_I2401,intergenic_2335115_2335241,intergenic_region,6,6
FAM_I2402,intergenic_2148773_2148990,intergenic_region,6,6
SING_I4ZO,intergenic_2499049_2499143,intergenic_region,1,1
SING_I510,intergenic_2595123_2595316,intergenic_region,1,1
SING_I52S,intergenic_2721589_2721719,intergenic_region,1,1
SING_I550,intergenic_2866726_2866855,intergenic_region,1,1
SING_I55G,intergenic_2902754_2902959,intergenic_region,1,1
FAM_I2403,intergenic_1511088_1511174,intergenic_region,6,6
SING_I57O,intergenic_3037420_3037877,intergenic_region,1,1
SING_I584,intergenic_3062367_3062557,intergenic_region,1,1
FAM_I2404,intergenic_1314917_1315203,intergenic_region,6,6
FAM_I2406,intergenic_768031_768199,intergenic_region,6,6
FAM_I2407,intergenic_560907_561015,intergenic_region,6,6
FAM_I2408,intergenic_533378_533476,intergenic_region,6,6
FAM_I2409,intergenic_478935_479123,intergenic_region,6,6
FAM_I2410,intergenic_195196_195341,intergenic_region,6,6
SING_I5MC,intergenic_4092513_4092701,intergenic_region,1,1
SING_I5O4,intergenic_4192870_4193039,intergenic_region,1,1
SING_I5OK,intergenic_4230672_4231064,intergenic_region,1,1
SING_I5PG,intergenic_4279428_4279754,intergenic_region,1,1
SING_I5PW,intergenic_4309273_4309635,intergenic_region,1,1
SING_I5QC,intergenic_4355708_4355876,intergenic_region,1,1
FAM_I2411,intergenic_3050941_3051137,intergenic_region,2,3
SING_I5S4,intergenic_4463765_4463845,intergenic_region,1,1
SING_I5XG,intergenic_4845064_4845458,intergenic_region,1,1
FAM_I2412,intergenic_4911333_4911426,intergenic_region,2,2
FAM_I2413,intergenic_3953414_3953477,intergenic_region,6,6
FAM_I2414,intergenic_2091872_2092026,intergenic_region,6,6
FAM_I2415,intergenic_2033463_2033547,intergenic_region,6,6
FAM_I2416,intergenic_2009079_2009322,intergenic_region,6,6
FAM_I2417,intergenic_2399600_2399651,intergenic_region,6,6
FAM_I2418,intergenic_2419455_2419504,intergenic_region,6,6
FAM_I2419,intergenic_2637636_2637849,intergenic_region,6,6
FAM_I2420,intergenic_2789861_2790017,intergenic_region,3,3
FAM_I2421,intergenic_2842600_2842928,intergenic_region,6,6
FAM_I2422,intergenic_2968969_2969161,intergenic_region,6,6
FAM_I2423,intergenic_2998560_2998926,intergenic_region,6,6
FAM_I2424,intergenic_3075384_3075463,intergenic_region,6,6
FAM_I2425,intergenic_2533381_2533763,intergenic_region,6,6
FAM_I2426,intergenic_2583479_2583545,intergenic_region,6,6
FAM_I2427,intergenic_2629482_2629794,intergenic_region,6,6
FAM_I2428,intergenic_2661532_2661642,intergenic_region,6,6
FAM_I2429,intergenic_2894772_2894918,intergenic_region,6,6
FAM_I2430,intergenic_3055942_3056186,intergenic_region,6,6
FAM_I2431,intergenic_3206257_3206462,intergenic_region,6,6
FAM_I2432,intergenic_3322506_3322732,intergenic_region,6,6
FAM_I2433,intergenic_4499373_4499501,intergenic_region,4,4
FAM_I2434,intergenic_4690308_4690775,intergenic_region,3,4
FAM_I2435,intergenic_4073572_4073738,intergenic_region,5,5
FAM_I2436,intergenic_4250602_4250702,intergenic_region,5,5
FAM_I2437,intergenic_4424387_4424515,intergenic_region,6,6
FAM_I2438,intergenic_4439794_4439871,intergenic_region,6,6
FAM_I2439,intergenic_5426600_5426910,intergenic_region,3,3
FAM_I2440,intergenic_4601518_4601623,intergenic_region,6,6
FAM_I2441,intergenic_11804_12179,intergenic_region,6,6
FAM_I2442,intergenic_117550_117751,intergenic_region,6,6
FAM_I2444,intergenic_188296_188609,intergenic_region,6,6
FAM_I2445,intergenic_262628_262677,intergenic_region,3,3
FAM_I2446,intergenic_405144_405381,intergenic_region,6,6
FAM_I2447,intergenic_545985_546155,intergenic_region,6,6
FAM_I2448,intergenic_733212_733590,intergenic_region,6,6
FAM_I2449,intergenic_757908_758071,intergenic_region,5,5
FAM_I2451,intergenic_864816_865949,intergenic_region,2,2
FAM_I2452,intergenic_1044928_1045070,intergenic_region,6,6
FAM_I2453,intergenic_1079775_1079983,intergenic_region,5,5
FAM_I2454,intergenic_1148410_1148484,intergenic_region,4,4
FAM_I2455,intergenic_1230170_1230783,intergenic_region,6,6
FAM_I2456,intergenic_1422273_1423549,intergenic_region,2,2
FAM_I2457,intergenic_1464186_1464243,intergenic_region,6,6
FAM_I2458,intergenic_1516811_1517104,intergenic_region,6,6
FAM_I2459,intergenic_1569200_1569278,intergenic_region,2,3
FAM_I2460,intergenic_1636110_1636164,intergenic_region,3,5
FAM_I2461,intergenic_1772830_1772979,intergenic_region,3,3
FAM_I2462,intergenic_1801339_1801677,intergenic_region,2,2
FAM_I2463,intergenic_1859847_1859897,intergenic_region,2,2
SING_I87O,intergenic_48145_48477,intergenic_region,1,1
FAM_I2464,intergenic_3719769_3720048,intergenic_region,6,6
SING_I8CK,intergenic_421944_422057,intergenic_region,1,1
FAM_I2465,intergenic_3471330_3471399,intergenic_region,6,6
SING_I8IS,intergenic_878557_879719,intergenic_region,1,1
SING_I8J8,intergenic_899208_899565,intergenic_region,1,1
FAM_I2466,intergenic_1124091_1124170,intergenic_region,1,2
SING_I8NO,intergenic_1217890_1217956,intergenic_region,1,1
FAM_I2467,intergenic_2712765_2712895,intergenic_region,6,6
SING_I8QC,intergenic_1419168_1419532,intergenic_region,1,1
FAM_I2468,intergenic_2526857_2526945,intergenic_region,6,6
FAM_I2469,intergenic_2954680_2954848,intergenic_region,6,6
FAM_I2471,intergenic_2420864_2420947,intergenic_region,6,6
FAM_I2472,intergenic_2134730_2134955,intergenic_region,6,6
FAM_I2473,intergenic_2063434_2063738,intergenic_region,6,6
SING_I978,intergenic_2592434_2592561,intergenic_region,1,1
FAM_I2474,intergenic_1914175_1914349,intergenic_region,5,5
FAM_I2475,intergenic_1839351_1839413,intergenic_region,6,6
FAM_I2476,intergenic_1723346_1723439,intergenic_region,6,6
SING_I99W,intergenic_2771310_2771616,intergenic_region,1,1
SING_I9AC,intergenic_2795695_2795925,intergenic_region,1,1
FAM_I2477,intergenic_1506777_1506886,intergenic_region,6,6
SING_I9ES,intergenic_3102949_3103003,intergenic_region,1,1
FAM_I2478,intergenic_871469_871669,intergenic_region,6,6
SING_I9HW,intergenic_3337151_3337461,intergenic_region,1,1
FAM_I2479,intergenic_740176_740303,intergenic_region,6,6
SING_I9K4,intergenic_3499063_3499144,intergenic_region,1,1
FAM_I2481,intergenic_559920_559971,intergenic_region,6,6
FAM_I2482,intergenic_415467_415575,intergenic_region,5,5
FAM_I2483,intergenic_222108_222217,intergenic_region,6,6
FAM_I2484,intergenic_4639531_4639589,intergenic_region,6,6
SING_I9TW,intergenic_4202702_4202941,intergenic_region,1,1
FAM_I2485,intergenic_4552821_4552900,intergenic_region,6,6
FAM_I2487,intergenic_4462869_4463066,intergenic_region,2,2
SING_I9ET,intergenic_3104726_3104784,intergenic_region,1,1
SING_I9HX,intergenic_3337582_3337907,intergenic_region,1,1
FAM_I2488,intergenic_792828_793011,intergenic_region,6,6
FAM_I2489,intergenic_739295_739386,intergenic_region,6,6
FAM_I2490,intergenic_557860_557987,intergenic_region,6,6
FAM_I2491,intergenic_530866_530916,intergenic_region,6,6
FAM_I2493,intergenic_295660_295716,intergenic_region,6,6
SING_I9QT,intergenic_3981070_3981166,intergenic_region,1,1
FAM_I2494,intergenic_4612290_4612410,intergenic_region,6,6
SING_I9UT,intergenic_4281586_4281695,intergenic_region,1,1
FAM_I2495,intergenic_4107422_4107551,intergenic_region,6,6
FAM_I2496,intergenic_3841788_3841949,intergenic_region,6,6
FAM_I2497,intergenic_3782563_3782641,intergenic_region,6,6
FAM_I2498,intergenic_3680349_3680443,intergenic_region,6,6
FAM_I2499,intergenic_3367643_3367826,intergenic_region,2,2
FAM_I2501,intergenic_2987077_2987535,intergenic_region,4,4
FAM_I2502,intergenic_2949011_2949241,intergenic_region,6,6
SING_I7NQ,intergenic_4212263_4212315,intergenic_region,1,1
FAM_I2503,intergenic_962898_962972,intergenic_region,6,6
FAM_I2504,intergenic_1255463_1256030,intergenic_region,3,3
FAM_I2505,intergenic_1441758_1441810,intergenic_region,3,5
FAM_I2506,intergenic_1465009_1465102,intergenic_region,6,6
FAM_I2507,intergenic_1490149_1490302,intergenic_region,6,6
FAM_I2508,intergenic_1520788_1521132,intergenic_region,6,6
FAM_I2509,intergenic_1571905_1571999,intergenic_region,2,7
SING_I5M4,intergenic_4072499_4073012,intergenic_region,1,1
FAM_I2510,intergenic_4630523_4630732,intergenic_region,6,6
FAM_I2511,intergenic_4247456_4247669,intergenic_region,2,2
FAM_I2512,intergenic_4299933_4300603,intergenic_region,3,3
SING_I5Q4,intergenic_4340553_4340622,intergenic_region,1,1
SING_I5QK,intergenic_4366403_4366540,intergenic_region,1,1
SING_I5UK,intergenic_4647771_4648025,intergenic_region,1,1
SING_I5XO,intergenic_4857587_4857757,intergenic_region,1,1
FAM_I2513,intergenic_2217392_2217732,intergenic_region,2,2
FAM_I2514,intergenic_2598542_2598863,intergenic_region,2,2
FAM_I2515,intergenic_2932777_2932893,intergenic_region,2,2
FAM_I2516,intergenic_3054837_3054908,intergenic_region,2,2
FAM_I2517,intergenic_3182231_3182875,intergenic_region,2,2
FAM_I2518,intergenic_3727303_3727374,intergenic_region,2,2
FAM_I2519,intergenic_5041751_5042190,intergenic_region,2,2
FAM_I2520,intergenic_4360209_4360280,intergenic_region,3,3
FAM_I2521,intergenic_4517965_4518608,intergenic_region,2,2
FAM_I2522,intergenic_4588518_4589381,intergenic_region,2,2
FAM_I2523,intergenic_4614732_4614926,intergenic_region,2,2
FAM_I2524,intergenic_4704710_4705408,intergenic_region,2,2
FAM_I2525,intergenic_4935028_4935086,intergenic_region,4,4
FAM_I2526,intergenic_4261307_4261668,intergenic_region,5,5
FAM_I2527,intergenic_5443703_5443979,intergenic_region,2,2
FAM_I2528,intergenic_25485_25818,intergenic_region,6,6
FAM_I2529,intergenic_171588_171806,intergenic_region,6,6
FAM_I2530,intergenic_531613_531676,intergenic_region,6,6
FAM_I2531,intergenic_845385_845491,intergenic_region,3,3
FAM_I2532,intergenic_1062041_1062162,intergenic_region,6,6
FAM_I2533,intergenic_1160141_1160230,intergenic_region,6,6
FAM_I2534,intergenic_1263116_1263568,intergenic_region,3,5
FAM_I2719,intergenic_1481230_1481404,intergenic_region,4,4
FAM_I2535,intergenic_1452763_1452852,intergenic_region,3,3
FAM_I2536,intergenic_1812405_1814051,intergenic_region,2,2
FAM_I2537,intergenic_1938626_1939124,intergenic_region,2,2
FAM_I2538,intergenic_47454_47747,intergenic_region,2,2
SING_I88C,intergenic_109343_109518,intergenic_region,1,1
FAM_I2539,intergenic_3654528_3654682,intergenic_region,6,6
SING_I8GC,intergenic_689062_689151,intergenic_region,1,1
